timestamp,open,high,low,close,volume
1773680400.0,73760.63,74065.7,73648.7,73943.18,906.04408
1773684000.0,73943.17,74356.32,73860.0,73913.6,1086.95746
1773687600.0,73913.6,74418.6,73781.54,73963.0,1122.08511
1773691200.0,73963.0,74248.95,73863.2,74236.9,424.59345
1773694800.0,74236.9,74799.0,74150.0,74401.36,1246.95221
1773698400.0,74401.35,74899.99,74378.43,74772.66,1058.73068
1773702000.0,74773.56,74909.08,74250.21,74884.67,1159.70951
1773705600.0,74884.67,75520.23,74614.18,75318.48,2173.5367
1773709200.0,75318.48,76000.0,75074.37,75623.91,1953.08873
1773712800.0,75623.91,75677.66,75114.67,75198.02,1068.24779
1773716400.0,75198.02,75326.15,74268.73,74463.98,1730.33731
1773720000.0,74463.98,74712.89,73980.16,74252.01,2017.11887
1773723600.0,74252.0,74459.99,73784.0,74036.74,1250.81696
1773727200.0,74036.74,74276.66,73877.56,74085.45,879.74749
1773730800.0,74085.46,74457.72,74066.4,74249.32,771.242
1773734400.0,74249.32,74452.97,74108.01,74188.38,461.65295
1773738000.0,74188.38,74406.03,73841.62,73937.16,864.16263
1773741600.0,73937.16,73960.74,73560.98,73729.45,1049.0691
1773745200.0,73729.45,74224.16,73682.01,74033.11,647.95804
1773748800.0,74033.1,74170.55,73672.25,73739.74,614.23436
1773752400.0,73739.74,74167.39,73399.19,73615.48,1159.88444
1773756000.0,73615.49,74425.31,73424.79,74381.7,1362.71508
1773759600.0,74381.69,74893.94,73669.91,73914.39,1370.72331
1773763200.0,73914.4,74350.0,73855.24,74155.69,747.87279
1773766800.0,74155.68,74594.0,74006.58,74523.75,826.10844
1773770400.0,74523.76,74769.17,74386.11,74683.04,707.46038
1773774000.0,74683.04,74800.0,74427.25,74512.17,768.60522
1773777600.0,74511.21,74685.5,74359.87,74506.75,466.76372
1773781200.0,74506.75,74799.0,74450.01,74685.42,618.20101
1773784800.0,74685.42,74772.14,73934.0,74307.08,488.30847
1773788400.0,74307.08,74398.74,73871.74,73909.36,523.41057
1773792000.0,73909.37,74063.22,73535.36,73867.88,673.31061
1773795600.0,73867.88,74211.43,73820.69,74072.3,537.72886
1773799200.0,74072.3,74476.0,74051.78,74338.93,549.53806
1773802800.0,74338.93,74672.34,74250.27,74446.14,459.80928
1773806400.0,74446.14,74486.3,74137.02,74175.49,472.35206
1773810000.0,74175.48,74312.11,73830.76,73950.0,662.80056
1773813600.0,73950.01,74225.82,73938.1,73954.03,652.79254
1773817200.0,73954.03,73997.04,73700.01,73883.8,504.7237
1773820800.0,73883.8,74130.02,73863.31,74044.89,735.50464
1773824400.0,74044.9,74281.33,74042.85,74181.08,347.16358
1773828000.0,74181.08,74267.77,73816.26,73946.35,478.90858
1773831600.0,73946.35,74074.84,72800.0,72952.85,1877.69179
1773835200.0,72952.85,72981.79,72271.11,72361.24,1819.95371
1773838800.0,72361.13,72556.81,71980.0,72133.49,1607.02731
1773842400.0,72133.48,72222.45,71100.0,71193.23,2385.98822
1773846000.0,71193.23,71531.54,70857.21,71467.82,2560.23665
1773849600.0,71467.82,71565.78,71037.34,71314.08,967.21409
1773853200.0,71314.07,71750.0,71199.87,71595.21,1025.9984
1773856800.0,71595.21,72000.5,70947.78,71096.74,1475.11719
1773860400.0,71096.75,71486.14,70933.85,71072.38,867.91916
1773864000.0,71072.38,71333.33,70500.0,71214.67,1180.62213
1773867600.0,71214.67,71451.22,71167.15,71263.67,338.26453
1773871200.0,71263.67,71269.02,70944.56,71153.66,520.94837
1773874800.0,71153.67,71365.4,71069.69,71246.54,691.26691
1773878400.0,71246.55,71321.81,70976.69,71002.17,887.95607
1773882000.0,71002.18,71182.44,70951.93,71115.23,391.40796
1773885600.0,71115.24,71252.83,70902.37,71055.44,554.97617
