timestamp,open,high,low,close,volume
1771131600.0,2076.31,2096.11,2075.12,2088.68,13517.585
1771135200.0,2088.67,2094.71,2082.61,2085.85,9082.319
1771138800.0,2085.85,2103.32,2082.47,2091.41,34761.7286
1771142400.0,2091.41,2096.82,2055.92,2069.2,27316.0929
1771146000.0,2069.2,2078.86,2066.02,2068.7,9469.0133
1771149600.0,2068.7,2070.26,2054.36,2061.57,10415.5493
1771153200.0,2061.56,2067.01,2058.61,2061.96,4891.9191
1771156800.0,2061.96,2068.63,2011.0,2011.0,27452.0817
1771160400.0,2011.0,2028.34,1994.05,2002.46,48992.1893
1771164000.0,2002.45,2012.43,1993.3,2010.32,23471.8499
1771167600.0,2010.32,2015.07,2002.5,2011.29,15790.3985
1771171200.0,2011.29,2011.3,1993.35,2006.27,52142.1239
1771174800.0,2006.27,2009.05,1957.9,1971.3,39397.2103
1771178400.0,1971.3,1981.36,1952.62,1959.24,86430.6925
1771182000.0,1959.24,1961.96,1928.88,1942.23,111713.6846
1771185600.0,1942.22,1958.54,1933.77,1950.11,16989.637
1771189200.0,1950.11,1965.77,1950.0,1958.55,9995.153
1771192800.0,1958.55,1974.51,1956.58,1970.27,9431.4963
1771196400.0,1970.27,1970.89,1944.36,1966.58,18853.9236
1771200000.0,1966.59,1979.3,1963.35,1969.11,17601.4525
1771203600.0,1969.11,1981.2,1957.0,1963.06,11795.9275
1771207200.0,1963.06,1966.79,1952.3,1957.0,8676.6599
1771210800.0,1957.01,1959.81,1948.76,1958.78,9328.3216
1771214400.0,1958.78,1973.19,1958.34,1973.06,9289.7666
1771218000.0,1973.05,1974.17,1952.91,1958.0,10870.1372
1771221600.0,1957.99,1967.58,1955.94,1966.69,6224.5302
1771225200.0,1966.69,1978.64,1964.32,1971.13,12111.0474
1771228800.0,1971.14,1978.51,1970.0,1977.31,7824.2263
1771232400.0,1977.31,1993.35,1976.16,1987.67,19499.8904
1771236000.0,1987.66,1988.91,1977.51,1978.88,7219.1525
1771239600.0,1978.88,1983.87,1957.12,1976.15,17076.6315
1771243200.0,1976.16,2009.52,1972.46,2006.24,17839.9282
1771246800.0,2006.25,2023.51,1961.23,1967.7,39101.6427
1771250400.0,1967.69,1983.45,1954.97,1973.13,18232.334
1771254000.0,1973.13,1986.12,1937.24,1956.65,35682.8156
1771257600.0,1956.65,1980.04,1956.31,1973.75,22180.4766
1771261200.0,1973.75,1988.4,1964.48,1978.99,16573.7081
1771264800.0,1978.99,1985.68,1967.1,1968.93,10273.7227
1771268400.0,1968.94,1979.74,1966.22,1974.04,8089.6023
1771272000.0,1974.04,1994.34,1971.1,1993.2,13720.2978
1771275600.0,1993.2,2004.02,1986.2,1999.14,12003.6883
1771279200.0,1999.13,2002.54,1984.39,1990.19,11617.8339
1771282800.0,1990.19,2002.52,1988.72,1998.33,8514.1495
1771286400.0,1998.34,2005.77,1993.41,1998.44,7247.1782
1771290000.0,1998.45,2008.05,1991.0,1991.82,7619.5607
1771293600.0,1991.8,2008.58,1979.7,1998.59,16392.9806
1771297200.0,1998.6,1999.22,1984.73,1985.7,8720.5727
1771300800.0,1985.69,1998.48,1982.23,1989.44,9943.1886
1771304400.0,1989.44,1991.05,1964.72,1975.68,17831.9284
1771308000.0,1975.68,1985.07,1975.67,1981.02,6772.8404
1771311600.0,1981.02,1988.22,1973.32,1985.91,10442.2239
1771315200.0,1985.91,1990.88,1973.95,1977.08,13060.6464
1771318800.0,1977.07,1979.99,1969.79,1976.16,13678.9128
1771322400.0,1976.15,1978.77,1961.71,1966.93,13184.1419
1771326000.0,1966.92,1972.5,1964.28,1968.47,7332.665
1771329600.0,1968.47,1977.02,1967.21,1969.76,11194.8099
1771333200.0,1969.76,1999.72,1964.74,1990.53,19708.1928
1771336800.0,1990.53,2002.7,1944.3,1948.49,50708.5711
1771340400.0,1948.5,1969.66,1941.66,1968.58,35993.6945
1771344000.0,1968.59,2010.47,1967.65,1980.36,43955.8094
1771347600.0,1980.37,1984.05,1954.03,1966.27,24967.607
1771351200.0,1966.28,2007.02,1961.73,1998.69,25370.9819
1771354800.0,1998.7,2015.33,1995.07,1998.14,23332.8204
